PMID,Title,Abstract,Authors,Keywords,Publication Year,Journal Title,Publication Type,Grants
33376973,Cell-free DNA (cfDNA) and Exosome Profiling from a Year-Long Human Spaceflight Reveals Circulating Biomarkers.,"Liquid biopsies based on cell-free DNA (cfDNA) or exosomes provide a noninvasive approach to monitor human health and disease but have not been utilized for astronauts. Here, we profile cfDNA characteristics, including fragment size, cellular deconvolution, and nucleosome positioning, in an astronaut during a year-long mission on the International Space Station, compared to his identical twin on Earth and healthy donors. We observed a significant increase in the proportion of cell-free mitochondrial DNA (cf-mtDNA) inflight, and analysis of post-flight exosomes in plasma revealed a 30-fold increase in circulating exosomes and patient-specific protein cargo (including brain-derived peptides) after the year-long mission. This longitudinal analysis of astronaut cfDNA during spaceflight and the exosome profiles highlights their utility for astronaut health monitoring, as well as cf-mtDNA levels as a potential biomarker for physiological stress or immune system responses related to microgravity, radiation exposure, and the other unique environmental conditions of spaceflight.",Bezdan D; Grigorev K; Meydan C; Pelissier Vatter FA; Cioffi M; Rao V; MacKay M; Nakahira K; Burnham P; Afshinnekoo E; Westover C; Butler D; Mozsary C; Donahoe T; Foox J; Mishra T; Lucotti S; Rana BK; Melnick AM; Zhang H; Matei I; Kelsen D; Yu K; Lyden DC; Taylor L; Bailey SM; Snyder MP; Garrett-Bakelman FE; Ossowski S; De Vlaminck I; Mason CE,Omics; Space Medicine,2020,iScience,Journal Article,R01 MH117406/MH/NIMH NIH HHS/United States; R01 AI125416/AI/NIAID NIH HHS/United States; R01 ES021006/ES/NIEHS NIH HHS/United States; P30 CA008748/CA/NCI NIH HHS/United States; R21 AI129851/AI/NIAID NIH HHS/United States; KL2 TR002385/TR/NCATS NIH HHS/United States; R01 NS076465/NS/NINDS NIH HHS/United States; R25 EB020393/EB/NIBIB NIH HHS/United States; R01 AI151059/AI/NIAID NIH HHS/United States
35328492,The Fight against Cancer by Microgravity: The Multicellular Spheroid as a Metastasis Model.,"Cancer is a disease exhibiting uncontrollable cell growth and spreading to other parts of the organism. It is a heavy, worldwide burden for mankind with high morbidity and mortality. Therefore, groundbreaking research and innovations are necessary. Research in space under microgravity (µg) conditions is a novel approach with the potential to fight cancer and develop future cancer therapies. Space travel is accompanied by adverse effects on our health, and there is a need to counteract these health problems. On the cellular level, studies have shown that real (r-) and simulated (s-) µg impact survival, apoptosis, proliferation, migration, and adhesion as well as the cytoskeleton, the extracellular matrix, focal adhesion, and growth factors in cancer cells. Moreover, the µg-environment induces in vitro 3D tumor models (multicellular spheroids and organoids) with a high potential for preclinical drug targeting, cancer drug development, and studying the processes of cancer progression and metastasis on a molecular level. This review focuses on the effects of r- and s-µg on different types of cells deriving from thyroid, breast, lung, skin, and prostate cancer, as well as tumors of the gastrointestinal tract. In addition, we summarize the current knowledge of the impact of µg on cancerous stem cells. The information demonstrates that µg has become an important new technology for increasing current knowledge of cancer biology.",Grimm D; Schulz H; Krüger M; Cortés-Sánchez JL; Egli M; Kraus A; Sahana J; Corydon TJ; Hemmersbach R; Wise PM; Infanger M; Wehland M,breast cancer; cancer stem cells; clinostat; colorectal cancer; liver cancer; microgravity; multicellular spheroids; omics studies; organoids; prostate cancer; random positioning machine; rotating wall vessel; spaceflight; thyroid cancer,2022,International journal of molecular sciences,Journal Article; Review,50WB1524/German Aerospace Center/; 500WB1924/German Aerospace Center/
34966726,The Future of Personalized Medicine in Space: From Observations to Countermeasures.,"The aim of personalized medicine is to detach from a ""one-size fits all approach"" and improve patient health by individualization to achieve the best outcomes in disease prevention, diagnosis and treatment. Technological advances in sequencing, improved knowledge of omics, integration with bioinformatics and new in vitro testing formats, have enabled personalized medicine to become a reality. Individual variation in response to environmental factors can affect susceptibility to disease and response to treatments. Space travel exposes humans to environmental stressors that lead to physiological adaptations, from altered cell behavior to abnormal tissue responses, including immune system impairment. In the context of human space flight research, human health studies have shown a significant inter-individual variability in response to space analogue conditions. A substantial degree of variability has been noticed in response to medications (from both an efficacy and toxicity perspective) as well as in susceptibility to damage from radiation exposure and in physiological changes such as loss of bone mineral density and muscle mass in response to deconditioning. At present, personalized medicine for astronauts is limited. With the advent of longer duration missions beyond low Earth orbit, it is imperative that space agencies adopt a personalized strategy for each astronaut, starting from pre-emptive personalized pre-clinical approaches through to individualized countermeasures to minimize harmful physiological changes and find targeted treatment for disease. Advances in space medicine can also be translated to terrestrial applications, and vice versa. This review places the astronaut at the center of personalized medicine, will appraise existing evidence and future preclinical tools as well as clinical, ethical and legal considerations for future space travel. Wotring, Monici, Morbidelli, Gagliardi, Stingl, Surdo and Yip.",Pavez Loriè E; Baatout S; Choukér A; Buchheim JI; Baselet B; Dello Russo C; Wotring V; Monici M; Morbidelli L; Gagliardi D; Stingl JC; Surdo L; Yip VLM,dermatology; future approach; immunology; in vitro modelling; personalized medicine; pharmacology; radiation; space biology,2021,Frontiers in bioengineering and biotechnology,Journal Article; Review,
35037812,Latest knowledge about changes in the proteome in microgravity.,"INTRODUCTION: A long-term stay of humans in space causes health problems and changes in protists and plants. Deep space exploration will increase the time humans or rodents will spend in microgravity (µg). Moreover, they are exposed to cosmic radiation, hypodynamia, and isolation. OMICS investigations will increase our knowledge of the underlying mechanisms of µg-induced alterations in vivo and in vitro. AREAS COVERED: We summarize the findings over the recent 3 years on µg-induced changes in the proteome of protists, plants, rodent, and human cells. Considering the thematic orientation of microgravity-related publications in that time frame, we focus on medicine-associated findings, such as the µg-induced antibiotic resistance of bacteria, the myocardial consequences of µg-induced calpain activation, and the role of MMP13 in osteoarthritis. All these point to the fact that µg is an extreme stressor that could not be evolutionarily addressed on Earth. EXPERT OPINION: In conclusion, when interpreting µg-experiments, the direct, mostly unspecific stress response, must be distinguished from specific µg-effects. For this reason, recent studies often do not consider single protein findings but place them in the context of protein-protein interactions. This enables an estimation of functional relationships, especially if these are supported by epigenetic and transcriptional data (multi-omics).",Schulz H; Strauch SM; Richter P; Wehland M; Krüger M; Sahana J; Corydon TJ; Wise P; Baran R; Lebert M; Grimm D,Real microgravity; cancer; human cells; plants; proteome; rodents; simulated microgravity,2022,Expert review of proteomics,"Journal Article; Research Support, Non-U.S. Gov't",
26834514,Incorporation of omics analyses into artificial gravity research for space exploration countermeasure development.,"The next major steps in human spaceflight include flyby, orbital, and landing missions to the Moon, Mars, and near earth asteroids. The first crewed deep space mission is expected to launch in 2022, which affords less than 7 years to address the complex question of whether and how to apply artificial gravity to counter the effects of prolonged weightlessness. Various phenotypic changes are demonstrated during artificial gravity experiments. However, the molecular dynamics (genotype and molecular phenotypes) that underlie these morphological, physiological, and behavioral phenotypes are far more complex than previously understood. Thus, targeted molecular assessment of subjects under various G conditions can be expected to miss important patterns of molecular variance that inform the more general phenotypes typically being measured. Use of omics methods can help detect changes across broad molecular networks, as various G-loading paradigms are applied. This will be useful in detecting off-target, or unanticipated effects of the different gravity paradigms applied to humans or animals. Insights gained from these approaches may eventually be used to inform countermeasure development or refine the deployment of existing countermeasures. This convergence of the omics and artificial gravity research communities may be critical if we are to develop the proper artificial gravity solutions under the severely compressed timelines currently established. Thus, the omics community may offer a unique ability to accelerate discovery, provide new insights, and benefit deep space missions in ways that have not been previously considered.",Schmidt MA; Goodwin TJ; Pelligra R,Artificial gravity; Astronaut; Countermeasures; Gravity; Omics; Space flight,2016,Metabolomics : Official journal of the Metabolomic Society,Journal Article; Review,
35207523,Smart Device-Driven Corticolimbic Plasticity in Cognitive-Emotional Restructuring of Space-Related Neuropsychiatric Disease and Injury.,"Escalating government and commercial efforts to plan and deploy viable manned near-to-deep solar system exploration and habitation over the coming decades now drives next-generation space medicine innovations. The application of cutting-edge precision medicine, such as brain stimulation techniques, provides powerful clinical and field/flight situation methods to selectively control vagal tone and neuroendocrine-modulated corticolimbic plasticity, which is affected by prolonged cosmic radiation exposure, social isolation or crowding, and weightlessness in constricted operational non-terran locales. Earth-based clinical research demonstrates that brain stimulation approaches may be combined with novel psychotherapeutic integrated memory structure rationales for the corrective reconsolidation of arousing or emotional experiences, autobiographical memories, semantic schema, and other cognitive structures to enhance neuropsychiatric patient outcomes. Such smart cotherapies or countermeasures, which exploit natural, pharmaceutical, and minimally invasive neuroprosthesis-driven nervous system activity, may optimize the cognitive-emotional restructuring of astronauts suffering from space-related neuropsychiatric disease and injury, including mood, affect, and anxiety symptoms of any potential severity and pathophysiology. An appreciation of improved neuropsychiatric healthcare through the merging of new or rediscovered smart theragnostic medical technologies, capable of rendering personalized neuroplasticity training and managed psychotherapeutic treatment protocols, will reveal deeper insights into the illness states experienced by astronauts. Future work in this area should emphasize the ethical role of telemedicine and/or digital clinicians to advance the (semi)autonomous, technology-assisted medical prophylaxis, diagnosis, treatment, monitoring, and compliance of astronauts for elevated health, safety, and performance in remote extreme space and extraterrestrial environments.",Clark KB,astronaut health; cognitive-emotional restructuring; corticolimbic plasticity; neuropsychiatric disease and injury; smart medical devices; space theragnostic medicine,2022,"Life (Basel, Switzerland)",Journal Article; Review,
36070701,Artificial gravity partially protects space-induced neurological deficits in Drosophila melanogaster.,"Spaceflight poses risks to the central nervous system (CNS), and understanding neurological responses is important for future missions. We report CNS changes in Drosophila aboard the International Space Station in response to spaceflight microgravity (SFμg) and artificially simulated Earth gravity (SF1g) via inflight centrifugation as a countermeasure. While inflight behavioral analyses of SFμg exhibit increased activity, postflight analysis displays significant climbing defects, highlighting the sensitivity of behavior to altered gravity. Multi-omics analysis shows alterations in metabolic, oxidative stress and synaptic transmission pathways in both SFμg and SF1g; however, neurological changes immediately postflight, including neuronal loss, glial cell count alterations, oxidative damage, and apoptosis, are seen only in SFμg. Additionally, progressive neuronal loss and a glial phenotype in SF1g and SFμg brains, with pronounced phenotypes in SFμg, are seen upon acclimation to Earth conditions. Overall, our results indicate that artificial gravity partially protects the CNS from the adverse effects of spaceflight.",Mhatre SD; Iyer J; Petereit J; Dolling-Boreham RM; Tyryshkina A; Paul AM; Gilbert R; Jensen M; Woolsey RJ; Anand S; Sowa MB; Quilici DR; Costes SV; Girirajan S; Bhattacharya S,CP: Neuroscience; Drosophila; ISS; acclimation; artificial gravity; brain morphology; microgravity; oxidative stress; spaceflight,2022,Cell reports,"Journal Article; Research Support, N.I.H., Extramural",P20 GM103440/GM/NIGMS NIH HHS/United States
28433608,Toward biotechnology in space: High-throughput instruments for in situ biological research beyond Earth.,"Space biotechnology is a nascent field aimed at applying tools of modern biology to advance our goals in space exploration. These advances rely on our ability to exploit in situ high throughput techniques for amplification and sequencing DNA, and measuring levels of RNA transcripts, proteins and metabolites in a cell. These techniques, collectively known as ""omics"" techniques have already revolutionized terrestrial biology. A number of on-going efforts are aimed at developing instruments to carry out ""omics"" research in space, in particular on board the International Space Station and small satellites. For space applications these instruments require substantial and creative reengineering that includes automation, miniaturization and ensuring that the device is resistant to conditions in space and works independently of the direction of the gravity vector. Different paths taken to meet these requirements for different ""omics"" instruments are the subjects of this review. The advantages and disadvantages of these instruments and technological solutions and their level of readiness for deployment in space are discussed. Considering that effects of space environments on terrestrial organisms appear to be global, it is argued that high throughput instruments are essential to advance (1) biomedical and physiological studies to control and reduce space-related stressors on living systems, (2) application of biology to life support and in situ resource utilization, (3) planetary protection, and (4) basic research about the limits on life in space. It is also argued that carrying out measurements in situ provides considerable advantages over the traditional space biology paradigm that relies on post-flight data analysis.",Karouia F; Peyvan K; Pohorille A,"Biotechnology; Exploration; Genomics; High-throughput; Metabolomics; Microarray; Omics; Spaceflight; Transcriptomics, Proteomics",2017,Biotechnology advances,Journal Article; Review,
33336201,A New Era for Space Life Science: International Standards for Space Omics Processing.,"Space agencies have announced plans for human missions to the Moon to prepare for Mars. However, the space environment presents stressors that include radiation, microgravity, and isolation. Understanding how these factors affect biology is crucial for safe and effective crewed space exploration. There is a need to develop countermeasures, to adapt plants and microbes for nutrient sources and bioregenerative life support, and to limit pathogen infection. Scientists across the world are conducting space omics experiments on model organisms and, more recently, on humans. Optimal extraction of actionable scientific discoveries from these precious datasets will only occur at the collective level with improved standardization. To address this shortcoming, we established ISSOP (International Standards for Space Omics Processing), an international consortium of scientists who aim to enhance standard guidelines between space biologists at a global level. Here we introduce our consortium and share past lessons learned and future challenges related to spaceflight omics.",Rutter L; Barker R; Bezdan D; Cope H; Costes SV; Degoricija L; Fisch KM; Gabitto MI; Gebre S; Giacomello S; Gilroy S; Green SJ; Mason CE; Reinsch SS; Szewczyk NJ; Taylor DM; Galazka JM; Herranz R; Muratani M,ESA; GeneLab; ISSOP; JAXA; NASA; Twins study; metadata; omics; space biology; standardization,2020,"Patterns (New York, N.Y.)",Journal Article; Review,R01 MH117406/MH/NIMH NIH HHS/United States; UL1 TR001442/TR/NCATS NIH HHS/United States
36443314,SOTIP is a versatile method for microenvironment modeling with spatial omics data.,"The rapidly developing spatial omics generated datasets with diverse scales and modalities. However, most existing methods focus on modeling dynamics of single cells while ignore microenvironments (MEs). Here we present SOTIP (Spatial Omics mulTIPle-task analysis), a versatile method incorporating MEs and their interrelationships into a unified graph. Based on this graph, spatial heterogeneity quantification, spatial domain identification, differential microenvironment analysis, and other downstream tasks can be performed. We validate each module's accuracy, robustness, scalability and interpretability on various spatial omics datasets. In two independent mouse cerebral cortex spatial transcriptomics datasets, we reveal a gradient spatial heterogeneity pattern strongly correlated with the cortical depth. In human triple-negative breast cancer spatial proteomics datasets, we identify molecular polarizations and MEs associated with different patient survivals. Overall, by modeling biologically explainable MEs, SOTIP outperforms state-of-art methods and provides some perspectives for spatial omics data exploration and interpretation.",Yuan Z; Li Y; Shi M; Yang F; Gao J; Yao J; Zhang MQ,,2022,Nature communications,"Journal Article; Research Support, Non-U.S. Gov't",
34647245,Plant Gravitropism: From Mechanistic Insights into Plant Function on Earth to Plants Colonizing Other Worlds.,"Gravitropism, the growth of roots and shoots toward or away from the direction of gravity, has been studied for centuries. Such studies have not only led to a better understanding of the gravitropic process itself, but also paved new paths leading to deeper mechanistic insights into a wide range of research areas. These include hormone biology, cell signal transduction, regulation of gene expression, plant evolution, and plant interactions with a variety of environmental stimuli. In addition to contributions to basic knowledge about how plants function, there is accumulating evidence that gravitropism confers adaptive advantages to crops, particularly under marginal agricultural soils. Therefore, gravitropism is emerging as a breeding target for enhancing agricultural productivity. Moreover, research on gravitropism has spawned several studies on plant growth in microgravity that have enabled researchers to uncouple the effects of gravity from other tropisms. Although rapid progress on understanding gravitropism witnessed during the past decade continues to be driven by traditional molecular, physiological, and cell biological tools, these tools have been enriched by technological innovations in next-generation omics platforms and microgravity analog facilities. In this chapter, we review the field of gravitropism by highlighting recent landmark studies that have provided unique insights into this classic research topic while also discussing potential contributions to agriculture on Earth and beyond.",Chin S; Blancaflor EB,Agriculture; Genomics; Microgravity; Root development; Spaceflight; Tropisms,2022,"Methods in molecular biology (Clifton, N.J.)","Journal Article; Research Support, U.S. Gov't, Non-P.H.S.; Review",
32867906,Promoting Tech Transfer Between Space and Global Mental Health.,"INTRODUCTION: Numerous issues in mental health benefit from technological innovation. An example involves the mental health challenges of long-duration spaceflight (such as a Mars mission), including prolonged confinement, microgravity, and different sunlight exposure lengths. Persisting on Earth are global mental health challenges stemming from disease burdens, limited interview-based diagnostic systems, trial-and-error treatment approaches, and suboptimal access. There is potential for cross-pollinating solutions between these seemingly disparate challenges using a range of emerging technologies such as sensors, omics, and big data. In this review, we highlight the bidirectional value of mental health technology transfer aimed to address issues both on Earth and in space.METHODS: We prepared a systematic review of studies pertaining to mental health technological innovation and space medicine.RESULTS: For Earth mental health technologies translatable to long-duration space missions, we cite several example technologies, including device-based psychotherapy and social support, conversational agents aka chatbots, and nutritional and physical activity focused mental health. Space technologies translatable to Earth mental health include remote sensing devices, global navigation satellite systems, satellite communications, chronotherapies, and nutritional advances.DISCUSSION: There is a rich history of space technologies informing Earth technological trends, including general health care on Earth, and vice versa. To avoid the traditional happenstance approach that results in delays, missed opportunities, and increased cost, and to improve outcomes for both Earth and space utilization of these technologies, we propose increased dialogue and training opportunities to enhance innovation and outcomes.Chang DD, Storch EA, Black L, Berk M, Pellis N, Lavretsky H, Sutton J, Ternes K, Shepanek M, Smith E, Abbott R, Eyre HA. Promoting tech transfer between space and global mental health. Aerosp Med Hum Perform. 2020; 91(9):737745.",Chang DD; Storch EA; Black L; Berk M; Pellis N; Lavretsky H; Sutton J; Ternes K; Shepanek M; Smith E; Abbott R; Eyre HA,,2020,Aerospace medicine and human performance,Journal Article; Systematic Review,
26917741,Transient gene and microRNA expression profile changes of confluent human fibroblast cells in spaceflight.,"Microgravity, or an altered gravity environment different from the 1 g of the Earth, has been shown to influence global gene expression patterns and protein levels in cultured cells. However, most of the reported studies that have been conducted in space or by using simulated microgravity on the ground have focused on the growth or differentiation of these cells. It has not been specifically addressed whether nonproliferating cultured cells will sense the presence of microgravity in space. In an experiment conducted onboard the International Space Station, confluent human fibroblast cells were fixed after being cultured in space for 3 and 14 d, respectively, to investigate changes in gene and microRNA (miRNA) expression profiles in these cells. Results of the experiment showed that on d 3, both the flown and ground cells were still proliferating slowly, as measured by the percentage of Ki-67(+) cells. Gene and miRNA expression data indicated activation of NF-κB and other growth-related pathways that involve hepatocyte growth factor and VEGF as well as the down-regulation of the Let-7 miRNA family. On d 14, when the cells were mostly nonproliferating, the gene and miRNA expression profile of the flight sample was indistinguishable from that of the ground sample. Comparison of gene and miRNA expressions in the d 3 samples, with respect to d 14, revealed that most of the changes observed on d 3 were related to cell growth for both the flown and ground cells. Analysis of cytoskeletal changes via immunohistochemistry staining of the cells with antibodies for α-tubulin and fibronectin showed no difference between the flown and ground samples. Taken together, our study suggests that in true nondividing human fibroblast cells in culture, microgravity experienced in space has little effect on gene and miRNA expression profiles.-Zhang, Y., Lu, T., Wong, M., Wang, X., Stodieck, L., Karouia, F., Story, M., Wu, H. Transient gene and microRNA expression profile changes of confluent human fibroblast cells in spaceflight.",Zhang Y; Lu T; Wong M; Wang X; Stodieck L; Karouia F; Story M; Wu H,cell growth condition; microgravity; omics,2016,FASEB journal : official publication of the Federation of American Societies for,"Journal Article; Research Support, U.S. Gov't, Non-P.H.S.",
25517942,Spaceflight induces specific alterations in the proteomes of Arabidopsis.,"Life in spaceflight demonstrates remarkable acclimation processes within the specialized habitats of vehicles subjected to the myriad of unique environmental issues associated with orbital trajectories. To examine the response processes that occur in plants in space, leaves and roots from Arabidopsis (Arabidopsis thaliana) seedlings from three GFP reporter lines that were grown from seed for 12 days on the International Space Station and preserved on orbit in RNAlater were returned to Earth and analyzed by using iTRAQ broad-scale proteomics procedures. Using stringent criteria, we identified over 1500 proteins, which included 1167 leaf proteins and 1150 root proteins we were able to accurately quantify. Quantification revealed 256 leaf proteins and 358 root proteins that showed statistically significant differential abundance in the spaceflight samples compared to ground controls, with few proteins differentially regulated in common between leaves and roots. This indicates that there are measurable proteomics responses to spaceflight and that the responses are organ-specific. These proteomics data were compared with transcriptome data from similar spaceflight samples, showing that there is a positive but limited relationship between transcriptome and proteome regulation of the overall spaceflight responses of plants. These results are discussed in terms of emergence understanding of plant responses to spaceflight particularly with regard to cell wall remodeling, as well as in the context of deriving multiple omics data sets from a single on-orbit preservation and operations approach.",Ferl RJ; Koh J; Denison F; Paul AL,,2015,Astrobiology,"Journal Article; Research Support, U.S. Gov't, Non-P.H.S.",
33163940,The Importance of Earth Reference Controls in Spaceflight -Omics Research: Characterization of Nucleolin Mutants from the Seedling Growth Experiments.,"Understanding plant adaptive responses to the space environment is a requisite for enabling space farming. Spaceflight produces deleterious effects on plant cells, particularly affecting ribosome biogenesis, a complex stress-sensitive process coordinated with cell division and differentiation, known to be activated by red light. Here, in a series of ground studies, we have used mutants from the two Arabidopsis nucleolin genes (NUC1 and NUC2, nucleolar regulators of ribosome biogenesis) to better understand their role in adaptive response mechanisms to stress on Earth. Thus, we show that nucleolin stress-related gene NUC2 can compensate for the environmental stress provided by darkness in nuc1 plants, whereas nuc2 plants are not able to provide a complete response to red light. These ground control findings, as part of the ESA/NASA Seedling Growth spaceflight experiments, will determine the basis for the identification of genetic backgrounds enabling an adaptive advantage for plants in future space experiments.",Manzano A; Villacampa A; Sáez-Vásquez J; Kiss JZ; Medina FJ; Herranz R,Arabidopsis; Ground controls; Nucleolus; Omics; Plant Biology; RNA-Seq; Space Sciences; Spaceflight; Stress response,2020,iScience,Journal Article,80NSSC17K0546/ImNASA/Intramural NASA/United States
37164076,Adaptive mechanisms of Bacillus to near space extreme environments.,"Earth's near space is an extreme atmosphere environment with high levels of radiation, low atmospheric pressure and dramatic temperature fluctuations. The region is above the flight altitude of aircraft but below the orbit of satellites, which has special and Mars-like conditions for investigating the survival and evolution of life. Technical limitations including flight devices, payloads and technologies/methodologies hinder microbiological research in near space. In this study, we investigated microbial survival and adaptive strategies in near space using a scientific balloon fight mission and multi-omics analyses. Methods for sample preparation, storage, protector and vessel were optimized to prepare the exposed microbial samples. After 3 h 17 min of exposure at a float altitude of ~32 km, only Bacillus strains were alive with survival efficiencies of 0-10(-6). Diverse mutants with significantly altered metabolites were generated, firstly proving that Earth's near space could be used as a new powerful microbial breeding platform. Multi-omics analyses of mutants revealed cascade changes at the genome, transcriptome and proteome levels. In response to environmental stresses, two mutants had similar proteome changes caused by different genomic mutations and mRNA expression levels. Metabolic network analysis combined with proteins' expression levels revealed that metabolic fluxes of EMP, PPP and purine synthesis-related pathways were significantly altered to increase/decrease inosine production. Further analysis showed that proteins related to translation, molecular chaperones, cell wall/membrane, sporulation, DNA replication/repair and anti-oxidation were significantly upregulated, enabling cells to efficiently repair DNA/protein damages and improve viability against environmental stress. Overall, these results revealed genetic and metabolic responses of Bacillus to the harsh conditions in near space, providing a research basis for bacterial adaptive mechanisms in extreme environments.",Deng A; Wang T; Wang J; Li L; Wang X; Liu L; Wen T,Adaptive mechanism; Bacillus; Genome; Near space; Proteome; Transcriptome,2023,The Science of the total environment,Journal Article,
24273472,Personalized medicine in human space flight: using Omics based analyses to develop individualized countermeasures that enhance astronaut safety and performance.,"Space flight is one of the most extreme conditions encountered by humans. Advances in Omics methodologies (genomics, transcriptomics, proteomics, and metabolomics) have revealed that unique differences exist between individuals. These differences can be amplified in extreme conditions, such as space flight. A better understanding of individual differences may allow us to develop personalized countermeasure packages that optimize the safety and performance of each astronaut. In this review, we explore the role of ""Omics"" in advancing our ability to: (1) more thoroughly describe the biological response of humans in space; (2) describe molecular attributes of individual astronauts that alter the risk profile prior to entering the space environment; (3) deploy Omics techniques in the development of personalized countermeasures; and (4) develop a comprehensive Omics-based assessment and countermeasure platform that will guide human space flight in the future. In this review, we advance the concept of personalized medicine in human space flight, with the goal of enhancing astronaut safety and performance. Because the field is vast, we explore selected examples where biochemical individuality might significantly impact countermeasure development. These include gene and small molecule variants associated with: (1) metabolism of therapeutic drugs used in space; (2) one carbon metabolism and DNA stability; (3) iron metabolism, oxidative stress and damage, and DNA stability; and (4) essential input (Mg and Zn) effects on DNA repair. From these examples, we advance the case that widespread Omics profiling should serve as the foundation for aerospace medicine and research, explore methodological considerations to advance the field, and suggest why personalized medicine may become the standard of care for humans in space.",Schmidt MA; Goodwin TJ,Astronaut health; DNA repair; DNA stability; Essential inputs; Exploration; Genomics; Human; Human performance; Metabolomics; Micronutrient; Omics; Oxidative stress; Personalized medicine; Proteomics; Single nucleotide polymorphism; Space flight; Systems biology; Transcriptomics,2013,Metabolomics : Official journal of the Metabolomic Society,Journal Article,
26734055,A Bird's-Eye View of Molecular Changes in Plant Gravitropism Using Omics Techniques.,"During evolution, plants have developed mechanisms to adapt to a variety of environmental stresses, including drought, high salinity, changes in carbon dioxide levels and pathogens. Central signaling hubs and pathways that are regulated in response to these stimuli have been identified. In contrast to these well studied environmental stimuli, changes in transcript, protein and metabolite levels in response to a gravitational stimulus are less well understood. Amyloplasts, localized in statocytes of the root tip, in mesophyll cells of coleoptiles and in the elongation zone of the growing internodes comprise statoliths in higher plants. Deviations of the statocytes with respect to the earthly gravity vector lead to a displacement of statoliths relative to the cell due to their inertia and thus to gravity perception. Downstream signaling events, including the conversion from the biophysical signal of sedimentation of distinct heavy mass to a biochemical signal, however, remain elusive. More recently, technical advances, including clinostats, drop towers, parabolic flights, satellites, and the International Space Station, allowed researchers to study the effect of altered gravity conditions - real and simulated micro- as well as hypergravity on plants. This allows for a unique opportunity to study plant responses to a purely anthropogenic stress for which no evolutionary program exists. Furthermore, the requirement for plants as food and oxygen sources during prolonged manned space explorations led to an increased interest in the identi-fication of genes involved in the adaptation of plants to microgravity. Transcriptomic, proteomic, phosphoproteomic, and metabolomic profiling strategies provide a sensitive high-throughput approach to identify biochemical alterations in response to changes with respect to the influence of the gravitational vector and thus the acting gravitational force on the transcript, protein and metabolite level. This review aims at summarizing recent experimental approaches and discusses major observations.",Schüler O; Hemmersbach R; Böhmer M,gravity; metabolomics; microgravity; plants; proteomics; spaceflight; systems biology; transcriptomics,2015,Frontiers in plant science,Journal Article; Review,
30688299,Exploring the Effects of Spaceflight on Mouse Physiology using the Open Access NASA GeneLab Platform.,"Performing biological experiments in space requires special accommodations and procedures to ensure that these investigations are performed effectively and efficiently. Moreover, given the infrequency of these experiments it is imperative that their impacts be maximized. The rapid advancement of omics technologies offers an opportunity to dramatically increase the volume of data produced from precious spaceflight specimens. To capitalize on this, NASA has developed the GeneLab platform to provide unrestricted access to spaceflight omics data and encourage its widespread analysis. Rodents (both rats and mice) are common model organisms used by scientists to investigate space-related biological impacts. The enclosure that house rodents during spaceflight are called Rodent Habitats (formerly Animal Enclosure Modules), and are substantially different from standard vivarium cages in their dimensions, air flow, and access to water and food. In addition, due to environmental and atmospheric conditions on the International Space Station (ISS), animals are exposed to a higher CO2 concentration. We recently reported that mice in the Rodent Habitats experience large changes in their transcriptome irrespective of whether animals were on the ground or in space. Furthermore, these changes were consistent with a hypoxic response, potentially driven by higher CO2 concentrations. Here we describe how a typical rodent experiment is performed in space, how omics data from these experiments can be accessed through the GeneLab platform, and how to identify key factors in this data. Using this process, any individual can make critical discoveries that could change the design of future space missions and activities.",Beheshti A; Shirazi-Fard Y; Choi S; Berrios D; Gebre SG; Galazka JM; Costes SV,,2019,Journal of visualized experiments : JoVE,"Journal Article; Research Support, U.S. Gov't, Non-P.H.S.; Video-Audio Media",
33080015,NASA GeneLab: interfaces for the exploration of space omics data.,"The mission of NASA's GeneLab database (https://genelab.nasa.gov/) is to collect, curate, and provide access to the genomic, transcriptomic, proteomic and metabolomic (so-called 'omics') data from biospecimens flown in space or exposed to simulated space stressors, maximizing their utilization. This large collection of data enables the exploration of molecular network responses to space environments using a systems biology approach. We review here the various components of the GeneLab platform, including the new data repository web interface, and the GeneLab Online Data Entry (GEODE) web portal, which will support the expansion of the database in the future to include companion non-omics assay data. We discuss our design for GEODE, particularly how it promotes investigators providing more accurate metadata, reducing the curation effort required of GeneLab staff. We also introduce here a new GeneLab Application Programming Interface (API) specifically designed to support tools for the visualization of processed omics data. We review the outreach efforts by GeneLab to utilize the spaceflight data in the repository to generate novel discoveries and develop new hypotheses, including spearheading data analysis working groups, and a high school student training program. All these efforts are aimed ultimately at supporting precision risk management for human space exploration. Acids Research.",Berrios DC; Galazka J; Grigorev K; Gebre S; Costes SV,,2021,Nucleic acids research,"Journal Article; Research Support, U.S. Gov't, Non-P.H.S.",
